Day,Hour,RingerMode,RingerModeChangedMin,Charging,ChargingChangedMin,ScreenOn,ScreenChangedMin,Proximity,Pitch,MaxAcc,CalledHowManyTimes,TimeSinceLastCall,LastCallPicked,Picked
4,7,Normal,551.32,0,58.95,1,0.08,1,120,4.698733,1,843.77,1,Baseline
4,9,Normal,36.87,0,36.87,0,0.43,1,178,3.086972,1,149.57,0,Picked
4,16,Normal,36.47,0,163.95,0,0.15,0,-35,0.11503,2,205.68,1,Picked
5,7,Normal,765.17,0,0.25,1,0.35,0,-55,0.004716,1,887.88,1,Baseline
5,17,Normal,10.7,0,10.7,1,0.52,1,73,7.126009,4,5.77,1,Baseline
5,17,Normal,33.53,0,33.53,0,0.3,1,-168,0.005392,6,18.37,0,Picked
5,22,Normal,20.57,0,20.57,0,0.3,1,136,0.208855,7,58.02,0,Picked
5,22,Normal,30,0,30,0,0.37,1,-169,0.04088,9,0.82,0,Baseline
1,8,Normal,45.47,0,45.47,0,0.48,1,-138,0.213582,1,754.92,1,Picked
1,16,Normal,533.8,0,1.97,0,1.55,0,-20,0.068525,13,1.87,0,Picked
2,9,Normal,97.1,0,522.52,1,0.25,0,0,0.003298,2,868.07,1,Baseline
2,20,Normal,354.93,0,354.93,0,0.58,0,-14,0.130486,1,476.58,1,Picked
3,16,Normal,46.68,0,46.68,0,0.07,0,-80,0.001721,17,91.67,1,Picked
4,9,Normal,165.3,0,165.3,0,8.28,0,1,0.180539,2,1009.87,1,Picked
4,21,Normal,374.93,1,17,0,1.2,0,0,3.711042,21,61.87,1,Picked
6,14,Normal,0.2,1,0.2,1,0.17,0,0,0.002542,3,334.07,1,Baseline
6,14,Normal,1.13,0,0.28,0,0.27,0,1,0.000355,4,0.93,0,Picked
6,14,Normal,17.6,0,16.75,1,0.07,0,1,0.000355,5,16.47,1,Picked
6,19,Normal,43.12,0,43.12,1,0.03,1,20,0.016248,25,74.47,1,Picked
0,17,Normal,469.37,0,469.37,0,0.58,0,-9,0.003896,28,1151.9,1,Picked
1,9,Normal,1405.17,0,1405.17,0,0.32,0,0,0.002731,2,10.05,0,Picked
1,15,Normal,339.42,1,3.2,1,0.12,0,0,0.167396,1,27.3,1,Picked
1,19,Normal,33.2,0,79.25,0,0.37,0,-54,0.145594,9,106.47,0,Picked
1,20,Vibrate,32.02,0,12.8,1,0.37,1,12,0.202641,31,34.63,1,Baseline
1,21,Normal,43.23,0,83.22,1,0.2,1,137,0.006145,2,70.42,0,Baseline
5,13,Normal,789.88,0,292.95,1,0.53,1,175,0.044283,33,1143.07,1,Picked
1,9,Vibrate,22.62,0,196.55,0,1.13,0,141,0.038804,34,22.7,0,Picked
1,9,Normal,25.02,0,223.33,0,1.35,1,-175,3.569553,4,26.78,1,Picked
1,14,Normal,328.77,0,527.08,1,0.17,1,176,0.00079,1,303.75,1,Baseline
1,15,Normal,363.82,0,562.13,1,0.37,1,173,0.001075,1,35.05,0,Baseline
3,17,Normal,211.37,0,0.6,1,0.55,0,59,0.011577,1,102.28,1,Picked
4,12,Normal,96.13,0,96.13,0,4.83,1,168,0.019595,42,941.47,0,Picked
4,16,Normal,319.98,0,319.98,1,0.03,0,-2,0.00202,1,100.87,1,Picked
4,17,Normal,369.52,0,369.52,0,26.42,0,-50,0.005715,1,49.53,1,Picked
1,8,Normal,951.4,0,0.68,0,0.63,0,-57,0.000825,46,881.05,1,Picked
1,20,Normal,448.1,0,448.1,0,0.12,1,113,0.012951,48,244.97,1,Picked
3,6,Normal,1072.23,0,104.98,0,11.6,1,19,4.739659,1,808.6,1,Picked
4,13,Normal,1138.55,0,1138.55,0,0.45,0,0,0.000454,2,16.62,1,Picked
6,9,Normal,8.12,0,1326.77,0,0.23,1,101,3.16385,54,1360.58,1,Picked
